int_id,name,abbrev,t_age,b_age,int_type,color
67,Carnian,NA,227,237,age,#C99BCB
69,Ladinian,NA,237,242,age,#C983BF
70,Anisian,NA,242,247.2,age,#BC75B7
71,Scythian,NA,247.2,251.902,age,#983999
72,Olenekian,NA,247.2,251.2,age,#B051A5
73,Induan,NA,251.2,251.902,age,#A4469F
77,Tatarian,NA,251.902,259.1,age,#E27C88
78,Kazanian,NA,259.1,272.95,age,#EE7E79
79,Kungurian,NA,272.95,283.5,age,#E38776
81,Artinskian,NA,283.5,290.1,age,#E37B68
82,Sakmarian,NA,290.1,295,age,#E36F5C
83,Asselian,NA,295,298.9,age,#E36350
86,Gzhelian,NA,298.9,303.7,age,#CCD4C7
87,Kasimovian,NA,303.7,307,age,#BFD0C5
88,Moscovian,NA,307,315.2,age,#C7CBB9
89,Bashkirian,NA,315.2,323.2,age,#99C2B5
91,Serpukhovian,NA,323.2,330.9,age,#BFC26B
92,Visean,NA,330.9,346.7,age,#A6B96C
93,Tournaisian,NA,346.7,358.9,age,#8CB06C
96,Famennian,NA,358.9,372.2,age,#F2EDC5
97,Frasnian,NA,372.2,382.7,age,#F2EDAD
99,Givetian,NA,382.7,387.7,age,#F1E185
100,Eifelian,NA,387.7,393.3,age,#F1D576
102,Emsian,NA,393.3,407.6,age,#E5D075
103,Siegenian,NA,407.6,410.8,age,#E5C468
104,Gedinnian,NA,410.8,419.2,age,#E5B75A
114,Ashgill,NA,443.8,449,age,#A4DAA9
115,Caradocian,NA,449,458.4,age,#8FD297
117,Llandeilo,NA,458.4,460.5,age,#61BD95
118,Llanvirnian,NA,460.5,465.5,age,#3AAC86
120,Arenigian,NA,465.5,477.7,age,#139B77
121,Tremadocian,NA,477.7,485.4,age,#33A97E
124,Trempealeauan,NA,485.4,492.5,age,#E0F0C1
125,Franconian,NA,492.5,496.8,age,#D9EABA
127,Dresbachian,NA,496.8,501,age,#D3E5B2
133,Ochoan,NA,259,259.1,age,#E27C88
135,Leonardian,NA,272.95,282,age,#E3816F
136,Wolfcampian,NA,282,298.9,age,#E36956
137,Virgilian,NA,298.9,303.7,age,#C6D2C5
138,Missourian,NA,303.7,306,age,#B9CDC0
139,Desmoinesian,NA,306,312,age,#B3CBBE
140,Atokan,NA,312,319,age,#ACC9BC
141,Morrowan,NA,319,323.2,age,#9FC4B7
142,Chesterian,NA,323.2,335,age,#B5BE6B
143,Meramecian,NA,335,343.5,age,#ABBB6B
144,Osagean,NA,343.5,351.5,age,#A0B76C
145,Kinderhookian,NA,351.5,358.9,age,#96B46C
146,Conewangan,NA,358.9,365,age,#F2E7B6
147,Cassadagan,NA,365,372.2,age,#F2E1A6
149,Senecan,NA,370,385,age,#F1CE78
150,Chemungian,NA,372.2,379,age,#F2DB97
151,Fingerlakesian,NA,379,382.7,age,#F1D487
154,Helderbergian,NA,393.3,419.2,age,#E5AC4D
155,Cayugan,NA,419.2,425.6,age,#E0F3E0
156,Lockportian,NA,427.4,430.5,age,#CCEBD1
159,Alexandrian,NA,438.5,443.8,age,#A6DCB5
160,Richmondian,NA,445.2,449,age,#A2D9A7
161,Maysvillian,NA,449,450,age,#A0D9A5
162,Edenian,NA,450,451,age,#9BD7A1
163,Shermanian,NA,451,454.5,age,#97D59E
164,Kirkfield,NA,454.5,455.5,age,#96D59C
165,Rocklandian,NA,455.5,456.5,age,#91D298
166,Blackriverian,NA,456.5,458.4,age,#8ED195
167,Chazyan,NA,458.4,464,age,#4DB58D
168,Whiterock,NA,456.5,470,age,#27A37F
173,Tioughniogan,NA,382.7,387.7,age,#F1E185
174,Cazenovian,NA,382.7,393.3,age,#F1C868
175,Southwoodian,NA,387.7,393.3,age,#F1D576
177,Sawkillian,NA,393.3,407.6,age,#E5D075
178,Deerparkian,NA,393.3,407.6,age,#E5D075
182,Clarkforkian,NA,56,57.5,age,#FDB371
183,Wasatchian,NA,52,56,age,#FCAB78
184,Orellan,NA,32.1,33.9,age,#FED39E
185,Whitneyan,NA,29.8,32.1,age,#FEE39F
186,Irvingtonian,NA,0.3,1.806,age,#FFF0BD
187,Rancholabrean,NA,0.0114,0.3,age,#FFF2E1
188,Puercan,NA,64.75,66,age,#FDB469
189,Jacksonian,NA,33.9,38,age,#FDCDA1
206,Smithian,NA,248.5,251.2,age,#B051A5
208,Dienerian,NA,251.2,251.6,age,#A4469E
209,Dzhulfian,NA,254.14,259.1,age,#E87D80
210,Portlandian,NA,142,146,age,#8CCD60
219,Gelasian,NA,1.806,2.588,age,#FFEDB3
221,Changhsingian,NA,251.902,254.14,age,#FCC0B2
222,Wuchiapingian,NA,254.14,259.1,age,#FCB4A2
224,Capitanian,NA,259.1,265.1,age,#FB9A85
225,Wordian,NA,265.1,268.8,age,#FB8D76
226,Roadian,NA,268.8,272.95,age,#FB8069
228,Pragian,NA,407.6,410.8,age,#E5C468
229,Lochkovian,NA,410.8,419.2,age,#E5B75A
230,Ludfordian,NA,423,425.6,age,#D9F0DF
231,Gorstian,NA,425.6,427.4,age,#CCECDD
232,Homerian,NA,427.4,430.5,age,#CCEBD1
233,Sheinwoodian,NA,430.5,433.4,age,#BFE6C3
234,Telychian,NA,433.4,438.5,age,#BFE6CF
235,Aeronian,NA,438.5,440.8,age,#B3E1C2
236,Rhuddanian,NA,440.8,443.8,age,#A6DCB5
237,Hirnantian,NA,443.8,445.2,age,#A6DBAB
238,Katian,NA,445.2,453,age,#99D69F
239,Sandbian,NA,453,458.4,age,#8CD094
240,Darriwilian,NA,458.4,467.3,age,#74C69C
241,Dapingian,NA,467.3,470,age,#66C092
242,Floian,NA,470,477.7,age,#41B087
247,Stage 10,NA,485.4,489.5,age,#E6F5C9
248,Jiangshanian,NA,489.5,494,age,#D9F0BB
249,Paibian,NA,494,497,age,#CCEBAE
250,Guzhangian,NA,497,500.5,age,#CCDFAA
251,Drumian,NA,500.5,504.5,age,#BFD99D
252,Wuliuan,NA,504.5,509,age,#B3D492
253,Stage 4,NA,509,514,age,#B3CA8E
254,Stage 3,NA,514,521,age,#A6C583
255,Stage 2,NA,521,529,age,#A6BA80
256,Fortunian,NA,529,541,age,#99B575
273,Selandian,NA,59.2,61.6,age,#FEBF65
276,Calabrian,NA,0.781,1.806,age,#FFF2C7
277,Ionian,NA,0.0117,0.781,age,#FFF2D3
366,Haweran,Wq,0,0.34,age,#FFFA9B
367,Castlecliffian,Wc,0.34,1.63,age,#FFF997
368,Nukumaruan,Wn,1.63,2.4,age,#FFF994
369,Mangapanian,Wm,2.4,3,age,#FFF891
370,Waipipian,Wp,3,3.7,age,#FFF88E
371,Opoitian,Wo,3.7,5.33,age,#FFF78A
372,Kapitean,Tk,5.33,7.2,age,#FEE582
373,Tongaporutuan,Tt,7.2,11.04,age,#FED67E
374,Waiauan,Sw,11.04,13.05,age,#FDD07C
375,Lillburnian,Sl,13.05,15.1,age,#FDCA7B
376,Clifdenian,Sc,15.1,15.9,age,#FDCD90
377,Altonian,Pl,15.9,18.7,age,#FDD6A7
378,Otaian,Po,18.7,21.7,age,#FEDAB4
379,Waitakian,Lw,21.7,25.2,age,#FDD5AA
380,Duntroonian,Ld,25.2,27.3,age,#FDCFA0
381,Whaingaroan,Lwh,27.3,34.6,age,#FCCA96
382,Runangan,Ar,34.6,36.7,age,#F4BA83
383,Kaiatan,Ak,36.7,39.1,age,#EBB07A
384,Bortonian,Ab,39.1,42.6,age,#E3A570
385,Porangan,Dp,42.6,45.7,age,#DF9D69
386,Heretaungan,Dh,45.7,48.9,age,#E4A06B
387,Mangaorapan,Dm,48.9,52,age,#EAA46D
388,Waipawan,Dw,52,56,age,#EFA76E
389,Teurian,Dt,56,66,age,#F4AA70
390,Haumurian,NA,66,83.6,age,#B8DEC2
391,Piripauan,NA,83.6,86.5,age,#AEDABA
392,Teratan,NA,86.5,90.5,age,#9ED3AE
393,Mangaotanean,NA,90.5,93.7,age,#98D1A8
394,Arowhanan,NA,93.7,95.2,age,#91CEA3
395,Ngaterian,NA,95.2,99.5,age,#84C998
396,Motuan,NA,99.5,103.3,age,#7DC693
397,Urutawan,Cu,103.3,108.4,age,#77C48E
398,Korangan,Uk,108.4,117.5,age,#70C189
399,Richmondian-Hirnantian,NA,443.8,450,age,#A4DAA9
400,Rocklandian-Shermanian,NA,453.5,459,age,#94D49B
401,Edenian-Maysvillian,NA,449,453.5,age,#9DD8A3
402,Selandian-Thanetian,NA,56,61.6,age,#FEBF6A
403,Ufimian,NA,268.8,272.95,age,#F57F71
404,Stephanian,NA,298.9,307,age,#BFD0C3
405,Westphalian,NA,307,315,age,#A6C7BA
406,Torrejonian,NA,62.25,64.75,age,#FEBA64
407,Tiffanian,NA,57.5,62.25,age,#FEBF6A
408,Bridgerian,NA,47.9,52,age,#FCB07D
410,Uintan,NA,39.9,47.9,age,#FCB887
411,Duchesnean,NA,37.8,39.9,age,#FDBC8C
412,Chadronian,NA,33.9,37.8,age,#FDC799
413,Geringian,NA,26.3,30.8,age,#FFECA5
414,Monroecreekian,NA,24.8,26.3,age,#FEEE82
415,Harrisonian,NA,20.6,24.8,age,#FFF75B
416,Hemingfordian,NA,16.3,18.6,age,#FFFF3A
417,Barstovian,NA,13.6,16.3,age,#FFFF47
418,Clarendonian,NA,10.3,13.6,age,#FFFF60
419,Hemphillian,NA,4.9,10.3,age,#FFFF6D
420,Blancan,NA,1.806,4.9,age,#FFFFB9
472,Rocklandian-Kirkfield,NA,457,459,age,#93D39A
478,Early Paleocene,NA,61.6,66,age,#FDB462
479,Middle Paleocene,NA,59.2,61.6,age,#FEBF65
480,Late Paleocene,NA,56,59.2,age,#FDBF6F
481,Early Eocene,NA,47.8,56,age,#FCA773
482,Middle Eocene,NA,37.8,47.8,age,#FCB482
483,Late Eocene,NA,33.9,37.8,age,#FED99A
484,Early Oligocene,NA,28.1,33.9,age,#FED99A
485,Late Oligocene,NA,23.03,28.1,age,#FEE6AA
486,Early Miocene,NA,15.97,23.03,age,#FFFF33
487,Middle Miocene,NA,11.62,15.97,age,#FFFF4D
488,Late Miocene,NA,5.333,11.62,age,#FFFF66
489,Early Pliocene,NA,3.6,5.333,age,#FFFFB3
490,Late Pliocene,NA,2.588,3.6,age,#FFFFBF
491,Early Pleistocene,NA,1.806,2.588,age,#FFEDB3
492,Late Pleistocene,NA,0.0117,0.126,age,#FFF2C7
502,Middle Pleistocene,NA,0.126,0.781,age,#FFF2C7
503,Niagaran,NA,425.6,438.5,age,#BFE6CF
504,Wisconsinan,NA,0.05,0.15,age,#FFF2D3
505,Begadean,NA,520,541,age,#8CB06C
506,Montezuman,NA,515.5,520,age,#A6C583
507,Dyeran,NA,511,515.5,age,#99C078
508,Delamaran,NA,506.5,511,age,#BFD99D
510,Marjuman,NA,497,504.5,age,#A6CF86
511,Steptoean,NA,493,497,age,#B3E095
512,Sunwaptan,NA,486.7,493,age,#B3E095
513,Skullrockian,NA,480,486.7,age,#35b083
514,Stairsian,NA,479.5,480,age,#33A97E
515,Arikareean,NA,18.6,29.8,age,#FEE9B2
739,Tulean,NA,475,479.5,age,#1A9D6F
740,Blackhillsian,NA,470,475,age,#41B087
741,Mohawkian,NA,451,456.5,age,#7FCA93
742,Gamachian,NA,443.8,445.2,age,#A6DBAB
743,Ulsterian,NA,393.3,419.2,age,#E5AC4D
744,Erian,NA,385,393.3,age,#F1C868
745,Chatauquan,NA,358.9,370,age,#F2EDC5
994,Ordian,NA,508,511.5,age,#7FA056
995,Templetonian,NA,504.5,508,age,#B3D492
996,Floran,NA,503,504.5,age,#BFD99D
997,Undillan,NA,500.5,503,age,#BFD99D
998,Boomerangian,NA,499,500.5,age,#CCDFAA
999,Mindyallan,NA,497,499,age,#CCDFAA
1000,Idamean,NA,494,497,age,#CCEBAE
1001,Iverian,NA,489.5,494,age,#D9F0BB
1002,Payntonian,NA,486.8,489.5,age,#E6F5C9
1003,Datsonian,NA,485.4,486.8,age,#E6F5C9
1004,Warendan,NA,484.3,485.4,age,#33A97E
1005,Lancefieldian,NA,476,484.3,age,#1A9D6F
1006,Bendigonian,NA,472.4,476,age,#41B087
1007,Chewtonian,NA,470,472.4,age,#41B087
1008,Castlemainian,NA,468.3,470,age,#66C092
1009,Yapeenian,NA,467.3,468.3,age,#66C092
1010,Gisbornian,NA,453,458.4,age,#8CD094
1011,Eastonian,NA,448.4,453,age,#99D69F
1012,Bolindian,NA,443.8,448.4,age,#7FCA93
1013,Telfordian,NA,285,288.5,age,#E37B68
1014,Mangapirian,NA,276,285,age,#EF5845
1015,Barrettian,NA,266,276,age,#F04028
1016,Flettian,NA,259.8,266,age,#F04028
1017,Puruhauan,NA,254.2,259.8,age,#FCB4A2
1018,Waiitian,NA,253.2,254.2,age,#FBA794
1019,Makarewan,NA,251.5,253.2,age,#FBA794
1020,Nelsonian,NA,249,251.5,age,#983999
1021,Malakovian,NA,246,249,age,#812B92
1022,Etalian,NA,238,246,age,#B168B1
1023,Kaihikuan,NA,227.5,238,age,#812B92
1024,Oretian,NA,221,227.5,age,#D6AAD3
1025,Warepan,NA,208.5,217,age,#D6AAD3
1026,Otapirian,NA,201.3,208.5,age,#E3B9DB
1027,Aratauran,NA,188.9,201.3,age,#42AED0
1028,Ururoan,NA,176,188.9,age,#42AED0
1029,Temaikan,NA,164.3,176,age,#34B2C9
1030,Heterian,NA,154.5,164.3,age,#34B2C9
1031,Ohauan,NA,150,154.5,age,#B3E3EE
1032,Puaroan,NA,145,150,age,#D9F1F7
1035,Chautauquan,NA,358.9,372.2,age,#F2EDC5
1036,Valmeyeran,NA,335,351.5,age,#678F66
1038,Meghalayan,NA,0,0.0042,age,#FEF2E0
1039,Northgrippian,NA,0.0042,0.0082,age,#FEF2E0
1040,Greenlandian,NA,0.0082,0.0117,age,#FEF2E0
1516,Otamitan,Bm,217,221,age,#D6AAD3
1568,Acarinina acarinata,NA,56.3,59.2,bin,#FDBF6F
1569,Acarinina mckannai,NA,56.3,59.1,bin,#FDBF6F
1043,M44,NA,169.99,170.76,chron,#80CFD8
1044,M43,NA,169.24,169.99,chron,#A6DDE0
1045,M42,NA,168.15,169.24,chron,#80CFD8
1046,M41,NA,167.47,168.15,chron,#B3E2E3
1047,M40,NA,166.72,167.47,chron,#B3E2E3
1048,M39,NA,165.04,166.72,chron,#80CFD8
1049,M38,NA,163.88,165.04,chron,#BFE7E5
1050,M37,NA,163.29,163.88,chron,#34B2C9
1051,M36,NA,162.7,163.29,chron,#BFE7F1
1052,M35,NA,162.49,162.7,chron,#BFE7F1
1053,M34,NA,161.81,162.49,chron,#BFE7F1
1054,M33,NA,160.73,161.81,chron,#BFE7F1
1055,M32,NA,160.15,160.73,chron,#BFE7F1
1056,M31,NA,159.78,160.15,chron,#BFE7F1
1057,M30,NA,159.38,159.78,chron,#BFE7F1
1058,M29,NA,158.89,159.38,chron,#BFE7F1
1059,M28,NA,157.57,158.89,chron,#BFE7F1
1060,M27,NA,157.25,157.57,chron,#B3E3EE
1061,M26,NA,156.56,157.25,chron,#CCECF4
1062,M25A,NA,156.04,156.56,chron,#CCECF4
1063,M25,NA,155.54,156.04,chron,#CCECF4
1064,M24B,NA,155.01,155.54,chron,#CCECF4
1065,M24A,NA,154.59,155.01,chron,#CCECF4
1066,M24,NA,153.62,154.59,chron,#CCECF4
1067,M23,NA,152.64,153.62,chron,#CCECF4
1068,M22A,NA,151.92,152.64,chron,#B3E3EE
1069,M22,NA,149.8,151.92,chron,#D9F1F7
1070,M21,NA,148.44,149.8,chron,#D9F1F7
1071,M20,NA,146.54,148.44,chron,#D9F1F7
1072,M19,NA,145.01,146.54,chron,#D9F1F7
1073,M18,NA,144,145.01,chron,#5ABC8C
1074,M17,NA,142.22,144,chron,#8CCD60
1075,M16,NA,140.42,142.22,chron,#8CCD60
1076,M15,NA,139.54,140.42,chron,#8CCD57
1077,M14,NA,138.66,139.54,chron,#99D36A
1078,M13,NA,138.25,138.66,chron,#99D36A
1079,M12A,NA,137.94,138.25,chron,#99D36A
1080,M12,NA,136.87,137.94,chron,#99D36A
1081,M11A,NA,136.29,136.87,chron,#99D36A
1082,M11,NA,135.32,136.29,chron,#99D36A
1083,M10N,NA,134.22,135.32,chron,#99D36A
1084,M10,NA,133.58,134.22,chron,#99D36A
1085,M9,NA,133.05,133.58,chron,#99D36A
1086,M8,NA,132.55,133.05,chron,#8CCD57
1087,M7,NA,132.04,132.55,chron,#A6D975
1088,M6,NA,131.74,132.04,chron,#A6D975
1089,M5,NA,130.6,131.74,chron,#A6D975
1090,M3,NA,128.66,130.6,chron,#8CCD57
1091,M1,NA,126.3,128.66,chron,#B3DF7F
1092,M0,NA,125.93,126.3,chron,#B3DF7F
1093,C34,NA,83.64,125.93,chron,#7FC64E
1094,C33,NA,74.309,83.64,chron,#A6D84A
1095,C32,NA,71.449,74.309,chron,#A6D84A
1096,C31,NA,68.369,71.449,chron,#F2FA8C
1097,C30,NA,66.398,68.369,chron,#F2FA8C
1098,C29,NA,64.958,66.398,chron,#D2C055
1099,C28,NA,63.394,64.958,chron,#FDB462
1100,C27,NA,62.221,63.394,chron,#FDB462
1101,C26,NA,58.959,62.221,chron,#FDA75F
1102,C25,NA,57.101,58.959,chron,#FDBF6F
1103,C24,NA,52.62,57.101,chron,#FD9A52
1104,C23,NA,50.628,52.62,chron,#FCA773
1105,C22,NA,48.566,50.628,chron,#FCA773
1106,C21,NA,45.724,48.566,chron,#FDB46C
1107,C20,NA,42.301,45.724,chron,#FCB482
1108,C19,NA,41.154,42.301,chron,#FDB46C
1109,C18,NA,38.615,41.154,chron,#FDC091
1110,C17,NA,36.969,38.615,chron,#FDB46C
1111,C16,NA,35.706,36.969,chron,#FDCDA1
1112,C15,NA,34.999,35.706,chron,#FDCDA1
1113,C13,NA,33.157,34.999,chron,#FD9A52
1114,C12,NA,30.591,33.157,chron,#FED99A
1115,C11,NA,29.183,30.591,chron,#FED99A
1116,C10,NA,27.859,29.183,chron,#FDC07A
1117,C9,NA,26.42,27.859,chron,#FEE6AA
1118,C8,NA,25.099,26.42,chron,#FEE6AA
1119,C7A,NA,24.761,25.099,chron,#FEE6AA
1120,C7,NA,23.692,24.761,chron,#FEE6AA
1121,C6C,NA,22.564,23.692,chron,#F4B470
1122,C6B,NA,21.767,22.564,chron,#FFFF33
1123,C6AA,NA,21.083,21.767,chron,#FFFF33
1124,C6A,NA,20.04,21.083,chron,#FFFF00
1125,C6,NA,18.748,20.04,chron,#FFFF41
1126,C5E,NA,18.056,18.748,chron,#FFFF41
1127,C5D,NA,17.235,18.056,chron,#FFFF41
1128,C5C,NA,15.974,17.235,chron,#FFFF41
1129,C5B,NA,14.775,15.974,chron,#FFFF00
1130,C5AD,NA,14.163,14.775,chron,#FFFF4D
1131,C5AC,NA,13.739,14.163,chron,#FFFF00
1132,C5AB,NA,13.363,13.739,chron,#FFFF59
1133,C5AA,NA,13.032,13.363,chron,#FFFF59
1134,C5A,NA,12.049,13.032,chron,#FFFF59
1135,C5,NA,9.786,12.049,chron,#FFFF00
1136,C4A,NA,8.771,9.786,chron,#FFFF66
1137,C4,NA,7.528,8.771,chron,#FFFF66
1138,C3B,NA,7.14,7.528,chron,#FFFF00
1139,C3A,NA,6.033,7.14,chron,#FFFF73
1140,C3,NA,4.187,6.033,chron,#FFE619
1141,C2A,NA,2.581,4.187,chron,#F9F97F
1142,C2,NA,1.778,2.581,chron,#FFF2AE
1143,C1,NA,0,1.778,chron,#F9F97F
131,Proterozoic,Ptz,541,2500,eon,#FF70B8
132,Archean,Arc,2500,4000,eon,#FF3399
275,Phanerozoic,NA,0,541,eon,#9AD9DD
1033,Hadean,NA,4000,4600,eon,#AE027E
3,Holocene,NA,0,0.0117,epoch,#FEF2E0
4,Pleistocene,Ple,0.0117,2.588,epoch,#FFF2AE
10,Pliocene,Pli,2.588,5.333,epoch,#FFFF99
13,Miocene,Mio,5.333,23.03,epoch,#FFFF00
21,Oligocene,Ol,23.03,33.9,epoch,#FDC07A
24,Eocene,Eo,33.9,56,epoch,#FDB46C
29,Paleocene,Pal,56,66,epoch,#FDA75F
34,Late Cretaceous,NA,66,100.5,epoch,#A6D84A
41,Early Cretaceous,NA,100.5,145,epoch,#8CCD57
49,Late Jurassic,NA,145,163.5,epoch,#B3E3EE
53,Middle Jurassic,NA,163.5,174.1,epoch,#80CFD8
58,Early Jurassic,NA,174.1,201.3,epoch,#42AED0
64,Late Triassic,NA,201.3,237,epoch,#BD8CC3
68,Middle Triassic,NA,237,247.2,epoch,#B168B1
76,Late Permian,NA,251.902,272.95,epoch,#FBA794
80,Early Permian,NA,272.95,298.9,epoch,#EE5845
85,Pennsylvanian,NA,298.9,323.2,epoch,#99C2B5
90,Mississippian,NA,323.2,358.9,epoch,#678F66
95,Late Devonian,NA,358.9,382.7,epoch,#F1E19D
98,Middle Devonian,NA,382.7,393.3,epoch,#F1C868
101,Early Devonian,NA,393.3,419.2,epoch,#E5AC4D
107,Pridoli,NA,419.2,423,epoch,#E6F5E1
108,Ludlow,NA,423,427.4,epoch,#BFE6CF
109,Wenlock,NA,427.4,433.4,epoch,#B3E1C2
111,Llandovery,NA,433.4,443.8,epoch,#99D7B3
113,Late Ordovician,NA,443.8,458.4,epoch,#7FCA93
116,Middle Ordovician,NA,458.4,470,epoch,#4DB47E
119,Early Ordovician,NA,470,485.4,epoch,#1A9D6F
123,Late Cambrian,NA,485.4,501,epoch,#B3E095
128,Middle Cambrian,NA,501,511,epoch,#BFD99D
130,Early Cambrian,NA,511,541,epoch,#8CB06C
134,Guadalupian,NA,259.1,272.95,epoch,#FB745C
204,Waucoban,NA,511,541,epoch,#8CB06C
205,Albertan,NA,501,511,epoch,#BFD99D
212,Namurian,NA,315,330.9,epoch,#A6C093
213,Early Triassic,NA,247.2,251.902,epoch,#983999
223,Lopingian,NA,251.902,259.1,epoch,#FBA794
227,Cisuralian,NA,272.95,298.9,epoch,#EF5845
243,Furongian,NA,485.4,497,epoch,#B3E095
244,Epoch 3,NA,497,509,epoch,#A6CF86
245,Epoch 2,NA,509,521,epoch,#99C078
246,Terreneuvian,NA,521,541,epoch,#8CB06C
475,Early Tertiary,NA,33.9,66,epoch,#FDB46C
476,Middle Tertiary,NA,23.03,33.9,epoch,#FDC07A
477,Late Tertiary,NA,2.588,23.03,epoch,#FFFF00
500,Miaolingian,NA,497,509,epoch,#A6CF86
501,Series 2,NA,509,521,epoch,#99C078
990,Early Carboniferous,NA,323.2,358.9,epoch,#678F66
991,Late Carboniferous,NA,298.9,323.2,epoch,#99C2B5
1034,Neocomian,NA,129.4,145,epoch,#94DB59
1037,Silesian,NA,298.9,330.9,epoch,#67A599
1041,Cincinnatian,NA,443.8,451,epoch,#7FCA93
1042,Ibexian,NA,470,486.7,epoch,#1A9D6F
1,Cenozoic,Cz,0,66,era,#F2F91D
32,Mesozoic,Mz,66,251.902,era,#67C5CA
74,Paleozoic,Pz,251.902,541,era,#99C08D
257,Neoproterozoic,Nptz,541,1000,era,#FF9BCD
258,Mesoproterozoic,Mptz,1000,1600,era,#FF7EBF
259,Paleoproterozoic,Pptz,1600,2500,era,#E665A6
260,Neoarchean,Narc,2500,2800,era,#FF5CAD
261,Mesoarchean,Marc,2800,3200,era,#E62E8A
262,Paleoarchean,Parc,3200,3600,era,#CC297A
274,Eoarchean,Earc,3600,4000,era,#B2246B
992,Early Paleozoic,NA,443.8,541,NA,#33A97E
993,Late Paleozoic,NA,251.902,358.9,NA,#67A599
2,Neogene,Ng,2.588,23.03,period,#FFE619
20,Paleogene,Pg,23.03,66,period,#FD9A52
33,Cretaceous,K,66,145,period,#7FC64E
48,Jurassic,J,145,201.3,period,#34B2C9
63,Triassic,Tr,201.3,251.902,period,#812B92
75,Permian,P,251.902,298.9,period,#F04028
84,Carboniferous,C,298.9,358.9,period,#67A599
94,Devonian,D,358.9,419.2,period,#CB8C37
105,Silurian,S,419.2,443.8,period,#B3E1B6
112,Ordovician,O,443.8,485.4,period,#009270
122,Cambrian,Cm,485.4,541,period,#7FA056
201,Aphebian,NA,1600,2500,period,#F74370
203,Hadrynian,NA,541,850,period,#FF9BCD
215,Paleohelikian,NA,1300,1600,period,#FF8BC5
216,Neohelikian,NA,850,1300,period,#FF7EBF
217,Kenoran,NA,2500,2800,period,#FF5CAD
263,Ediacaran,E,541,635,period,#FFC3E1
264,Cryogenian,Cr,635,720,period,#FFAFD7
265,Tonian,T,720,1000,period,#FFA5D2
266,Stenian,St,1000,1200,period,#FFA5D2
267,Ectasian,Ec,1200,1400,period,#FF98CC
268,Calymmian,Ca,1400,1600,period,#FF8BC5
269,Statherian,St,1600,1800,period,#EE93C1
270,Orosirian,Or,1800,2050,period,#E874AF
271,Rhyacian,R,2050,2300,period,#EB84B8
272,Siderian,Sd,2300,2500,period,#E874AF
421,Quaternary,Q,0,2.588,period,#F9F97F
474,Tertiary,T,2.588,66,period,#F4B470
974,Pennsylvanian-Permian,NA,251.902,323.2,period,#C5816F
975,Ordovician-Silurian,NA,419.2,485.4,period,#86CDA5
976,Silurian-Devonian,NA,358.9,443.8,period,#BFB777
977,Devonian-Mississippian,NA,323.2,419.2,period,#998E4F
978,Triassic-Jurassic,NA,145,251.902,period,#5B6FAE
979,Jurassic-Cretaceous,NA,66,201.3,period,#5ABC8C
980,Cretaceous-Paleogene,NA,56,100.5,period,#D2C055
981,Cambrian-Ordovician,NA,443.8,541,period,#409963
989,Vendian,NA,541,635,period,#FFC3E1
202,Griesbachian,NA,251.6,251.902,sub-age,#983999
207,Spathian,NA,247.2,248.5,sub-age,#C276AF
